Resume,Semantic_Score,Skill_Match_Score,Final_Score,Matched_Skills,Missing_Skills
resume5.txt,0.232,0.25,0.243,mongodb,"sql, api, git"
resume16.txt,0.215,0.25,0.236,mongodb,"sql, api, git"
resume11.txt,0.163,0.25,0.215,mongodb,"sql, api, git"
resume9.txt,0.156,0.25,0.213,sql,"mongodb, api, git"
resume19.txt,0.155,0.25,0.212,sql,"mongodb, api, git"
resume8.txt,0.1,0.25,0.19,mongodb,"sql, api, git"
resume4.txt,0.031,0.25,0.162,sql,"mongodb, api, git"
resume2.txt,0.146,0.0,0.058,,"sql, mongodb, api, git"
resume13.txt,0.058,0.0,0.023,,"sql, mongodb, api, git"
resume6.txt,0.041,0.0,0.016,,"sql, mongodb, api, git"
resume10.txt,0.028,0.0,0.011,,"sql, mongodb, api, git"
resume3.txt,0.024,0.0,0.01,,"sql, mongodb, api, git"
resume14.txt,0.008,0.0,0.003,,"sql, mongodb, api, git"
resume1.txt,0.004,0.0,0.002,,"sql, mongodb, api, git"
resume12.txt,0.004,0.0,0.002,,"sql, mongodb, api, git"
resume15.txt,0.004,0.0,0.002,,"sql, mongodb, api, git"
resume17.txt,0.004,0.0,0.002,,"sql, mongodb, api, git"
resume18.txt,0.005,0.0,0.002,,"sql, mongodb, api, git"
resume20.txt,0.004,0.0,0.002,,"sql, mongodb, api, git"
resume7.txt,0.004,0.0,0.002,,"sql, mongodb, api, git"
